epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,67908.4,1.47913,0.7571,1.15981,0.83879,0.70139,0.76678,0.4085,1.66988,0.77041,1.27497,0.000161482,0.000161482,0.000161482
72,68877.1,1.48326,0.75686,1.15996,0.83386,0.71388,0.79423,0.41432,1.68615,0.77265,1.28557,0.000156275,0.000156275,0.000156275
73,69839.1,1.47891,0.75614,1.15999,0.84676,0.70547,0.79142,0.4208,1.6855,0.76777,1.28752,0.000151067,0.000151067,0.000151067
74,70801.7,1.46672,0.7489,1.15111,0.85282,0.69509,0.79314,0.41555,1.68067,0.77222,1.28365,0.00014586,0.00014586,0.00014586
75,71767.3,1.47007,0.74735,1.15952,0.85641,0.69679,0.77457,0.4019,1.69004,0.76677,1.27945,0.000140652,0.000140652,0.000140652
76,72734.8,1.46681,0.74187,1.15859,0.82484,0.72439,0.79771,0.42144,1.67761,0.76489,1.28229,0.000135445,0.000135445,0.000135445
77,73697,1.47224,0.74074,1.15921,0.84948,0.6955,0.80036,0.42293,1.68862,0.77725,1.28963,0.000130238,0.000130238,0.000130238
78,74656.6,1.47706,0.74052,1.15485,0.83388,0.71437,0.77512,0.39906,1.6893,0.77313,1.28926,0.00012503,0.00012503,0.00012503
79,75619.6,1.46772,0.74623,1.15567,0.84312,0.7103,0.80336,0.4241,1.6841,0.76966,1.2839,0.000119823,0.000119823,0.000119823
80,76585.8,1.46044,0.73918,1.14638,0.8511,0.70575,0.78919,0.41511,1.69109,0.77302,1.29031,0.000114615,0.000114615,0.000114615
81,77549.5,1.46028,0.7365,1.15144,0.84755,0.71388,0.80445,0.43068,1.67659,0.76797,1.27341,0.000109408,0.000109408,0.000109408
82,78515.1,1.45405,0.73314,1.14475,0.83869,0.71962,0.80619,0.41701,1.67672,0.76423,1.27787,0.000104201,0.000104201,0.000104201
83,79479.2,1.43728,0.73067,1.14731,0.83097,0.72435,0.81261,0.42627,1.68239,0.76656,1.27954,9.89932e-05,9.89932e-05,9.89932e-05
84,80444.9,1.45718,0.7363,1.1497,0.83709,0.72338,0.79436,0.41889,1.67344,0.76424,1.28037,9.37858e-05,9.37858e-05,9.37858e-05
85,81422.7,1.45182,0.72481,1.1458,0.83634,0.72201,0.80413,0.42732,1.68571,0.76257,1.28491,8.85784e-05,8.85784e-05,8.85784e-05
86,82390.3,1.44384,0.72364,1.14461,0.82706,0.72515,0.81572,0.43071,1.68981,0.75939,1.29129,8.3371e-05,8.3371e-05,8.3371e-05
87,83354.5,1.42517,0.71456,1.14657,0.84827,0.72581,0.81709,0.42648,1.68725,0.75971,1.29086,7.81636e-05,7.81636e-05,7.81636e-05
88,1034.06,1.43767,0.71394,1.13559,0.85082,0.71737,0.78928,0.41468,1.68924,0.76185,1.28816,7.29562e-05,7.29562e-05,7.29562e-05
89,2035.65,1.4296,0.70932,1.13423,0.84959,0.70203,0.77747,0.40694,1.68488,0.75742,1.28741,6.77488e-05,6.77488e-05,6.77488e-05
90,3039.56,1.424,0.70929,1.13764,0.83191,0.7221,0.81254,0.42425,1.68913,0.7626,1.28448,6.25414e-05,6.25414e-05,6.25414e-05
91,4046.92,1.45415,0.67953,1.15657,0.82448,0.71954,0.77589,0.39984,1.69016,0.77345,1.29246,5.7334e-05,5.7334e-05,5.7334e-05
92,5044.51,1.43559,0.66348,1.14171,0.83007,0.7143,0.77078,0.4036,1.68144,0.76527,1.28448,5.21266e-05,5.21266e-05,5.21266e-05
93,6069.66,1.43202,0.6651,1.14456,0.82726,0.72567,0.77715,0.40422,1.67934,0.75985,1.28339,4.69192e-05,4.69192e-05,4.69192e-05
94,7217.18,1.42697,0.65863,1.14437,0.81446,0.72484,0.77431,0.40321,1.68055,0.75794,1.28103,4.17118e-05,4.17118e-05,4.17118e-05
95,8521.17,1.42345,0.654,1.14814,0.82042,0.72727,0.77409,0.40695,1.68321,0.75475,1.28185,3.65044e-05,3.65044e-05,3.65044e-05
96,9645.84,1.42168,0.64991,1.14193,0.83162,0.71527,0.77584,0.40125,1.68729,0.75645,1.28632,3.1297e-05,3.1297e-05,3.1297e-05
97,10684.3,1.41693,0.65151,1.13793,0.82338,0.71456,0.77865,0.41003,1.68422,0.75226,1.28335,2.60896e-05,2.60896e-05,2.60896e-05
98,11623.3,1.41506,0.64795,1.14033,0.81804,0.72685,0.78117,0.41238,1.68303,0.75211,1.28232,2.08822e-05,2.08822e-05,2.08822e-05
99,12559.1,1.40969,0.64981,1.13835,0.81919,0.73044,0.77313,0.40765,1.68275,0.75001,1.2826,1.56748e-05,1.56748e-05,1.56748e-05
100,13504.5,1.40841,0.64368,1.13496,0.82673,0.72666,0.77342,0.4091,1.68133,0.75084,1.28269,1.04674e-05,1.04674e-05,1.04674e-05
